***,Escenario G (Charlas),,
15:00 – 15:30,,,
15:30 – 16:00,,,
16:00 – 16:30,,,
16:30 – 17:00,,,
17:00 – 17:30,,,
17:30 – 18:00,,,
18:00 – 18:30,Charlas 3//CHARLA CORTOMETRAJE MEMORIAS DE UN DESCONOCIDO Charlas_CHARLA CORTOMETRAJE MEMORIAS DE UN DESCONOCIDO,"$150,000",1
18:30 – 19:00,,,
19:00 – 19:30,,,
19:30 – 20:00,,,
20:00 – 20:30,,,
20:30 – 21:00,,,
21:00 – 21:30,,,
21:30 – 22:00,,,
22:00 – 23:00,,,
,,,
,,,
,,,
,,,
,,,
,,,
🕒 Horario,Escenario G (Charlas),,
15:00 – 15:30,,,
15:30 – 16:00,,,
16:00 – 16:30,Charlas 6,,
16:30 – 17:00,,,
17:00 – 17:30,Charlas 7//CHARLA: “FUTURO COMICS: CREANDO UNA REVISTA DE CÓMICS DESDE CERO” Charlas_CHARLA: “FUTURO COMICS: CREANDO UNA REVISTA DE CÓMICS DESDE CERO”,"$150,000",1
17:30 – 18:00,,,
18:00 – 18:30,,,
18:30 – 19:00,,,
19:00 – 19:30,,,
19:30 – 20:00,,,
20:00 – 20:30,,,
20:30 – 21:00,,,
21:00 – 21:30,,,
21:30 – 22:00,,,
22:00 – 23:00,,,
,,,
,TOTAL,"$300,000",
,CONTEMPLADO,"$1,200,000",
,DIFERENCIA,"$900,000",
